iter	Logloss
0	0.6014599731
1	0.528256985
2	0.4781627822
3	0.4400202576
4	0.4124253107
5	0.3919041514
6	0.3742431501
7	0.3624867057
8	0.353642936
9	0.3470549846
10	0.3403436722
11	0.336255187
12	0.33184977
13	0.3280937888
14	0.324843948
15	0.3225095005
16	0.3206895833
17	0.319150837
18	0.3168989712
19	0.3153536721
20	0.3141882225
21	0.3129117891
22	0.311689407
23	0.310484051
24	0.3092573895
25	0.3083917893
26	0.3072612812
27	0.3065484081
28	0.3051955336
29	0.3044699136
30	0.3039663147
31	0.3035148816
32	0.3024543931
33	0.3017518809
34	0.3012429208
35	0.300714294
36	0.2998840048
37	0.2991596167
38	0.2984292809
39	0.2979655857
40	0.2975571412
41	0.2969566525
42	0.2961019246
43	0.2958522728
44	0.2954664729
45	0.2950641583
46	0.2946256944
47	0.2944433601
48	0.2939933865
49	0.2936465718
50	0.29276981
51	0.2923928097
52	0.2920991142
53	0.2918234678
54	0.2913497652
55	0.2911097191
56	0.2907052862
57	0.2901971696
58	0.2899324652
59	0.2896472105
60	0.2893463435
61	0.2891707656
62	0.288840313
63	0.2884963448
64	0.2880915852
65	0.2878933227
66	0.2877512028
67	0.2875789617
68	0.2873380051
69	0.2870992257
70	0.286931387
71	0.2866853933
72	0.286468313
73	0.28629514
74	0.2860947485
75	0.2855848993
76	0.2852917849
77	0.2851314083
78	0.2845933525
79	0.2843892107
80	0.2842174408
81	0.2828074328
82	0.2825686574
83	0.2823210368
84	0.2821891814
85	0.2819870828
86	0.2818111113
87	0.281562832
88	0.2813583995
89	0.2807300631
90	0.2805584713
91	0.2799691736
92	0.279582427
93	0.2793525543
94	0.279181063
95	0.2789280959
96	0.2786886979
97	0.2783881764
98	0.2781792691
99	0.2779367473
100	0.277785244
101	0.2775017647
102	0.2773488059
103	0.2772228205
104	0.2770444496
105	0.2767725764
106	0.2765667849
107	0.2763982822
108	0.2761621927
109	0.2759524768
110	0.2751940014
111	0.2749734559
112	0.2747775487
113	0.2745498491
114	0.2743597623
115	0.273628749
116	0.2734240983
117	0.2732622556
118	0.2730968257
119	0.2729623071
120	0.272694487
121	0.2724627652
122	0.27227577
123	0.2718719919
124	0.2716081552
125	0.2714430467
126	0.2706646114
127	0.2705193798
128	0.2703529095
129	0.2701659398
130	0.2699755772
131	0.2698204306
132	0.2694167743
133	0.2693288099
134	0.2691174966
135	0.2689352762
136	0.2687768759
137	0.2686444808
138	0.268456136
139	0.2683034183
140	0.2681900177
141	0.2680372839
142	0.2678757504
143	0.2676889507
144	0.2674748015
145	0.2673800165
146	0.2672343912
147	0.266880575
148	0.2667155736
149	0.2665271043
150	0.2663791519
151	0.2662728799
152	0.2661356312
153	0.2660084246
154	0.2659144644
155	0.2657297134
156	0.2655840667
157	0.2654916449
158	0.2654155625
159	0.2651935161
160	0.2650327485
161	0.2648847037
162	0.2646964071
163	0.2645560278
164	0.2644667098
165	0.2643598059
166	0.2642668285
167	0.2641237178
168	0.2639927327
169	0.2638760129
170	0.2638073483
171	0.2634802872
172	0.2633103785
173	0.263221414
174	0.2630704664
175	0.2629135255
176	0.2628140448
177	0.2627027839
178	0.2625564235
179	0.2624790905
180	0.262340472
181	0.262170325
182	0.2620463025
183	0.2618745621
184	0.2618116551
185	0.2616844793
186	0.2615547863
187	0.2614664042
188	0.2613937523
189	0.2613078285
190	0.2611697282
191	0.2609148062
192	0.2608084633
193	0.260729537
194	0.2605734464
195	0.2604528878
196	0.2600290051
197	0.259921172
198	0.2597899445
199	0.259673941
200	0.2595457959
201	0.2594400756
202	0.2592712086
203	0.2591964906
204	0.2590886213
205	0.2589071936
206	0.2587828979
207	0.2586829794
208	0.2586010069
209	0.2584146732
210	0.2582645584
211	0.257948138
212	0.2578826923
213	0.2577306735
214	0.2576509558
215	0.2575743981
216	0.2574233018
217	0.2573526154
218	0.2573140453
219	0.2571871856
220	0.2570798117
221	0.2569293273
222	0.2568727415
223	0.256761166
224	0.2566221832
225	0.2565232609
226	0.2563833998
227	0.2560408443
228	0.2559386803
229	0.2558073283
230	0.2556680564
231	0.2555865472
232	0.2555043805
233	0.2554109439
234	0.2553365245
235	0.2552728569
236	0.2552268021
237	0.255163326
238	0.2550850343
239	0.2549548044
240	0.2548526859
241	0.254720244
242	0.2546419644
243	0.2545622226
244	0.2543811149
245	0.2542869672
246	0.2541774229
247	0.2541346753
248	0.25404634
249	0.2539940697
250	0.253846116
251	0.2537378236
252	0.2535952765
253	0.2534647547
254	0.2534108562
255	0.2532163709
256	0.25310829
257	0.2530119184
258	0.252953051
259	0.2528460815
260	0.252756738
261	0.2527181613
262	0.2525829517
263	0.2525360132
264	0.2524967642
265	0.2524517939
266	0.2523964292
267	0.2522772471
268	0.2522079478
269	0.2521212435
270	0.2520705317
271	0.2519541319
272	0.2518713413
273	0.2517986826
274	0.2517004217
275	0.2516030351
276	0.2515185133
277	0.2513449452
278	0.2512899823
279	0.2512316505
280	0.2510495733
281	0.250832864
282	0.2507446988
283	0.2505543255
284	0.2503999206
285	0.2503208965
286	0.2502957897
287	0.2502439384
288	0.250145008
289	0.2500386344
290	0.2499644586
291	0.2498876679
292	0.249777347
293	0.2496342443
294	0.2495864635
295	0.2494801072
296	0.2493698466
297	0.2492548272
298	0.2492063702
299	0.2491246897
